Time	latitude	longtitude	elevation			
09:58:29	35.3409	25.1590	84
09:58:49	35.3443	25.1402	373
09:59:05	35.3535	25.1339	572
09:59:21	35.3657	25.1324	770
09:59:37	35.3780	25.1303	968
09:59:54	35.3915	25.1264	1120
09:59:57	35.3941	25.1256	1196
10:00:59	35.4603	25.1014	1692
10:01:21	35.4891	25.0912	2057
10:01:44	35.5170	25.0814	2385
10:02:11	35.5533	25.0684	2903
10:02:40	35.5889	25.0555	3315
10:03:19	35.6413	25.0367	3795
10:03:50	35.6853	25.0210	4412
10:04:29	35.7379	24.9997	4900
10:05:00	35.7846	24.9777	5044
10:05:30	35.8297	24.9566	5380
10:06:00	35.8772	24.9342	5776
10:06:30	35.9269	24.9108	6096
10:07:00	35.9782	24.8866	6416
10:07:20	36.0120	24.8706	6645
10:07:40	36.0450	24.8550	6850
10:08:10	36.0988	24.8296	7148
10:08:42	36.1543	24.8033	7445
10:09:00	36.1858	24.7883	7612
10:09:21	36.2252	24.7696	7788
10:09:40	36.2605	24.7527	7940
10:10:10	36.3162	24.7261	8214
10:10:40	36.3720	24.6994	8473
10:11:21	36.4474	24.6633	8793
10:11:52	36.5049	24.6359	9014
10:12:22	36.5621	24.6084	9220
10:12:51	36.6179	24.5817	9395
10:13:21	36.6720	24.5557	9555
10:13:42	36.7165	24.5343	9677
10:14:12	36.7733	24.5034	9898
10:14:42	36.8280	24.4697	10081
10:15:12	36.8849	24.4346	10295
10:15:41	36.9346	24.4039	10485
10:16:11	36.9958	24.3659	10660
10:16:41	37.0493	24.3327	10805
10:17:01	37.0823	24.3122	10904
10:17:32	37.1432	24.2743	10980
10:18:02	37.1975	24.2406	10980
10:18:34	37.2566	24.2035	10980
10:19:04	37.3105	24.1696	10980
10:19:35	37.3663	24.1346	10973
10:20:05	37.4231	24.0991	10980
10:20:35	37.4778	24.0647	10980
10:21:05	37.5342	24.0291	10980
10:21:35	37.5897	23.9940	10973
10:22:06	37.6461	23.9584	10980
10:22:36	37.7041	23.9217	10980
10:23:06	37.7597	23.8864	10980
10:23:36	37.8137	23.8522	10973
10:24:06	37.8692	23.8169	10980
10:24:49	37.9481	23.7710	10980
10:25:20	38.0092	23.7365	10980
10:25:50	38.0662	23.7043	10973
10:26:20	38.1092	23.6799	10980
10:26:50	38.1754	23.6424	10980
10:27:20	38.2364	23.6076	10980
10:27:50	38.2927	23.5755	10980
10:28:19	38.3480	23.5438	10980
10:28:50	38.4062	23.5105	10973
10:29:21	38.4646	23.4771	10980
10:29:51	38.5211	23.4450	10973
10:30:21	38.5772	23.4128	10980
10:30:51	38.6345	23.3797	10980
10:31:21	38.6909	23.3469	10980
10:31:51	38.7478	23.3140	10980
10:32:21	38.8046	23.2812	10980
10:32:51	38.8615	23.2483	10973
10:33:22	38.9189	23.2152	10980
10:33:56	38.9843	23.1705	10973
10:34:29	39.0428	23.1298	10980
10:35:00	39.1021	23.0883	10980
10:35:30	39.1554	23.0509	10980
10:36:03	39.2144	23.0098	10980
10:36:35	39.2765	22.9664	10980
10:37:05	39.3325	22.9270	10980
10:37:36	39.3880	22.8881	10973
10:38:07	39.4446	22.8483	10980
10:38:37	39.5001	22.8091	10973
10:39:07	39.5551	22.7701	10980
10:39:37	39.6103	22.7309	10980
